iso,year,cell
AFG,2003,0.87978
AFG,2004,2.54662
AFG,2005,4.91711
AFG,2006,9.9133
AFG,2007,18.0167
AFG,2008,29.8268
AFG,2009,38.2289
AFG,2010,36.1187
AFG,2011,47.0152
AFG,2012,50.1967
AFG,2013,53.149
AFG,2014,56.1322
AFG,2015,58.256
AFG,2016,62.2553
AFG,2017,67.0508
AFG,2018,59.8109
AFG,2019,59.6471
AFG,2020,58.0461
AFG,2021,56.6945
AFG,2022,56.2655
AGO,2003,1.95054
AGO,2004,3.9784
AGO,2005,8.35159
AGO,2006,15.2614
AGO,2007,23.8782
AGO,2008,31.3891
AGO,2009,36.1789
AGO,2010,40.3668
AGO,2011,49.8515
AGO,2012,50.7801
AGO,2013,50.7735
AGO,2014,51.7384
AGO,2015,49.3097
AGO,2016,44.5502
AGO,2017,44.0682
AGO,2018,42.4589
AGO,2019,45.8065
AGO,2020,43.7804
AGO,2021,44.3869
AGO,2022,66.6008
ALB,2003,35.278
ALB,2004,40.6495
ALB,2005,49.7453
ALB,2006,62.6026
ALB,2007,76.8284
ALB,2008,62.1342
ALB,2009,83.1929
ALB,2010,91.9299
ALB,2011,106.474
ALB,2012,120.275
ALB,2013,126.772
ALB,2014,115.701
ALB,2015,117.33
ALB,2016,116.284
ALB,2017,125.1
ALB,2018,93.8031
ALB,2019,91.1635
ALB,2020,91.1881
ALB,2021,92.4843
ALB,2022,98.395
AND,2003,74.6812
AND,2004,78.5281
AND,2005,83.3882
AND,2006,86.7048
AND,2007,77.559
AND,2008,76.8932
AND,2009,76.9466
AND,2010,81.1526
AND,2011,83.6224
AND,2012,83.1208
AND,2013,85.0214
AND,2014,89.8341
AND,2015,98.8389
AND,2016,105.474
AND,2017,108.912
AND,2018,109.915
AND,2019,114.953
AND,2020,103.877
AND,2021,119.688
AND,2022,142.426
ARE,2003,70.8971
ARE,2004,83.1597
ARE,2005,97.1993
ARE,2006,110.185
ARE,2007,137.458
ARE,2008,148.473
ARE,2009,159.114
ARE,2010,157.473
ARE,2011,162.894
ARE,2012,183.741
ARE,2013,205.105
ARE,2014,204.192
ARE,2015,206.839
ARE,2016,220.412
ARE,2017,214.701
ARE,2018,214.842
ARE,2019,209.033
ARE,2020,194.468
ARE,2021,186.301
ARE,2022,195.625
ARG,2003,20.4096
ARG,2004,34.8114
ARG,2005,56.4973
ARG,2006,79.5273
ARG,2007,100.962
ARG,2008,115.052
ARG,2009,128.462
ARG,2010,138.252
ARG,2011,145.511
ARG,2012,152.574
ARG,2013,158.191
ARG,2014,142.325
ARG,2015,142.241
ARG,2016,145.147
ARG,2017,139.758
ARG,2018,131.224
ARG,2019,125.303
ARG,2020,121.181
ARG,2021,130.353
ARG,2022,131.484
ARM,2003,3.76374
ARM,2004,6.72643
ARM,2005,10.5791
ARM,2006,42.1272
ARM,2007,63.0765
ARM,2008,48.7164
ARM,2009,74.4012
ARM,2010,131.875
ARM,2011,109.85
ARM,2012,113.697
ARM,2013,114.5
ARM,2014,118.365
ARM,2015,118.599
ARM,2016,117.671
ARM,2017,119.676
ARM,2018,123.0
ARM,2019,124.614
ARM,2020,120.682
ARM,2021,125.395
ARM,2022,130.54
AUS,2003,72.3885
AUS,2004,82.2081
AUS,2005,90.7636
AUS,2006,95.9663
AUS,2007,101.458
AUS,2008,103.507
AUS,2009,101.914
AUS,2010,101.619
AUS,2011,105.824
AUS,2012,106.5
AUS,2013,107.332
AUS,2014,106.206
AUS,2015,107.608
AUS,2016,109.129
AUS,2017,107.8
AUS,2018,110.033
AUS,2019,109.753
AUS,2020,104.93
AUS,2021,105.119
AUS,2022,109.469
AUT,2003,89.5526
AUT,2004,97.7795
AUT,2005,105.296
AUT,2006,112.226
AUT,2007,119.466
AUT,2008,129.949
AUT,2009,137.015
AUT,2010,146.334
AUT,2011,155.155
AUT,2012,161.156
AUT,2013,156.483
AUT,2014,151.531
AUT,2015,155.837
AUT,2016,126.798
AUT,2017,123.415
AUT,2018,124.23
AUT,2019,120.776
AUT,2020,120.132
AUT,2021,121.358
AUT,2022,121.166
AZE,2003,12.5837
AZE,2004,17.156
AZE,2005,26.0781
AZE,2006,38.1512
AZE,2007,51.1876
AZE,2008,73.2222
AZE,2009,85.7487
AZE,2010,99.489
AZE,2011,109.334
AZE,2012,107.989
AZE,2013,106.583
AZE,2014,109.567
AZE,2015,109.682
AZE,2016,103.248
AZE,2017,101.59
AZE,2018,102.987
AZE,2019,106.328
AZE,2020,101.597
AZE,2021,105.694
AZE,2022,107.506
BDI,2003,0.90868
BDI,2004,1.37553
BDI,2005,2.01653
BDI,2006,2.54273
BDI,2007,3.30806
BDI,2008,5.65018
BDI,2009,10.2904
BDI,2010,17.8962
BDI,2011,19.7015
BDI,2012,22.3128
BDI,2013,24.3007
BDI,2014,29.5678
BDI,2015,45.2379
BDI,2016,47.6697
BDI,2017,51.4533
BDI,2018,53.2737
BDI,2019,53.2996
BDI,2020,52.5571
BDI,2021,59.7008
BDI,2022,56.26
BEL,2003,82.9377
BEL,2004,87.6255
BEL,2005,91.6576
BEL,2006,93.3538
BEL,2007,101.06
BEL,2008,105.901
BEL,2009,108.9
BEL,2010,111.132
BEL,2011,113.202
BEL,2012,110.856
BEL,2013,110.349
BEL,2014,113.6
BEL,2015,113.292
BEL,2016,110.749
BEL,2017,99.8304
BEL,2018,100.164
BEL,2019,100.165
BEL,2020,99.9101
BEL,2021,101.463
BEL,2022,101.68
BEN,2003,2.98462
BEN,2004,5.62957
BEN,2005,7.07639
BEN,2006,12.1442
BEN,2007,22.9147
BEN,2008,39.2846
BEN,2009,52.9301
BEN,2010,72.2115
BEN,2011,76.9318
BEN,2012,80.8629
BEN,2013,89.9019
BEN,2014,78.517
BEN,2015,82.0193
BEN,2016,76.0182
BEN,2017,72.8671
BEN,2018,76.408
BEN,2019,81.3235
BEN,2020,85.2391
BEN,2021,94.9183
BEN,2022,105.745
BFA,2003,1.81994
BFA,2004,2.93277
BFA,2005,4.54743
BFA,2006,7.07267
BFA,2007,12.5405
BFA,2008,19.82
BFA,2009,24.3387
BFA,2010,35.2848
BFA,2011,46.1058
BFA,2012,58.0942
BFA,2013,63.5243
BFA,2014,68.5396
BFA,2015,76.9373
BFA,2016,79.6698
BFA,2017,90.2081
BFA,2018,94.622
BFA,2019,97.1499
BFA,2020,102.973
BFA,2021,112.198
BFA,2022,119.463
BGD,2003,0.96829
BGD,2004,1.94647
BGD,2005,6.21909
BGD,2006,13.0671
BGD,2007,23.2247
BGD,2008,29.8647
BGD,2009,34.0413
BGD,2010,44.6275
BGD,2011,54.9307
BGD,2012,62.6684
BGD,2013,74.4595
BGD,2014,80.3128
BGD,2015,82.4276
BGD,2016,84.5595
BGD,2017,93.069
BGD,2018,98.9289
BGD,2019,100.4
BGD,2020,106.002
BGD,2021,110.012
BGD,2022,109.867
BGR,2003,44.8576
BGR,2004,61.0333
BGR,2005,81.1551
BGR,2006,108.025
BGR,2007,130.455
BGR,2008,138.397
BGR,2009,139.621
BGR,2010,137.14
BGR,2011,141.938
BGR,2012,147.338
BGR,2013,144.355
BGR,2014,131.335
BGR,2015,128.103
BGR,2016,125.906
BGR,2017,120.596
BGR,2018,119.395
BGR,2019,116.617
BGR,2020,114.597
BGR,2021,114.912
BGR,2022,116.679
BHR,2003,54.6188
BHR,2004,74.5619
BHR,2005,82.2539
BHR,2006,91.2343
BHR,2007,105.539
BHR,2008,128.559
BHR,2009,118.449
BHR,2010,129.158
BHR,2011,140.351
BHR,2012,174.62
BHR,2013,175.802
BHR,2014,177.4
BHR,2015,183.92
BHR,2016,209.489
BHR,2017,159.547
BHR,2018,139.735
BHR,2019,129.143
BHR,2020,119.412
BHR,2021,128.079
BHR,2022,139.636
BHS,2003,36.4188
BHS,2004,54.743
BHS,2005,66.2329
BHS,2006,72.6192
BHS,2007,105.849
BHS,2008,99.9805
BHS,2009,98.898
BHS,2010,116.572
BHS,2011,80.3784
BHS,2012,79.9001
BHS,2013,75.735
BHS,2014,82.3551
BHS,2015,80.7521
BHS,2016,92.8219
BHS,2017,90.5387
BHS,2018,98.9789
BHS,2019,107.812
BHS,2020,117.717
BHS,2021,100.257
BHS,2022,101.624
BIH,2003,25.7218
BIH,2004,33.9881
BIH,2005,38.9203
BIH,2006,46.4606
BIH,2007,61.0557
BIH,2008,80.532
BIH,2009,83.9539
BIH,2010,81.6019
BIH,2011,84.7529
BIH,2012,91.4833
BIH,2013,96.6063
BIH,2014,97.9342
BIH,2015,97.8678
BIH,2016,98.0144
BIH,2017,100.333
BIH,2018,102.187
BIH,2019,112.255
BIH,2020,106.375
BIH,2021,114.912
BIH,2022,118.944
BLR,2003,11.4045
BLR,2004,23.0022
BLR,2005,42.4035
BLR,2006,62.0314
BLR,2007,72.7795
BLR,2008,85.2943
BLR,2009,101.881
BLR,2010,108.873
BLR,2011,112.902
BLR,2012,112.822
BLR,2013,117.434
BLR,2014,120.366
BLR,2015,120.67
BLR,2016,120.432
BLR,2017,120.213
BLR,2018,122.57
BLR,2019,123.23
BLR,2020,125.165
BLR,2021,127.117
BLR,2022,128.315
BLZ,2003,22.899
BLZ,2004,27.6052
BLZ,2005,34.3187
BLZ,2006,40.9896
BLZ,2007,39.9574
BLZ,2008,52.5797
BLZ,2009,51.7517
BLZ,2010,60.6414
BLZ,2011,67.9524
BLZ,2012,51.5597
BLZ,2013,51.1128
BLZ,2014,49.3805
BLZ,2015,59.4798
BLZ,2016,61.1256
BLZ,2017,64.1586
BLZ,2018,64.7802
BLZ,2019,66.0705
BLZ,2020,67.5517
BLZ,2021,66.7769
BLZ,2022,67.175
BOL,2003,14.1298
BOL,2004,19.5647
BOL,2005,25.8676
BOL,2006,30.2062
BOL,2007,33.5993
BOL,2008,51.1488
BOL,2009,64.5389
BOL,2010,70.5073
BOL,2011,80.7163
BOL,2012,90.2756
BOL,2013,97.5951
BOL,2014,96.3264
BOL,2015,92.266
BOL,2016,90.3953
BOL,2017,96.6384
BOL,2018,99.4566
BOL,2019,100.149
BOL,2020,99.8988
BOL,2021,100.809
BOL,2022,101.572
BRA,2003,25.6741
BRA,2004,35.9135
BRA,2005,46.6789
BRA,2006,53.5317
BRA,2007,64.1626
BRA,2008,79.132
BRA,2009,88.1849
BRA,2010,101.667
BRA,2011,120.008
BRA,2012,126.132
BRA,2013,136.589
BRA,2014,140.305
BRA,2015,127.836
BRA,2016,120.101
BRA,2017,108.093
BRA,2018,101.602
BRA,2019,97.3747
BRA,2020,98.6456
BRA,2021,104.825
BRA,2022,101.245
BRB,2003,52.6759
BRB,2004,74.8745
BRB,2005,76.7344
BRB,2006,87.8212
BRB,2007,94.953
BRB,2008,105.848
BRB,2009,122.96
BRB,2010,127.183
BRB,2011,125.993
BRB,2012,126.128
BRB,2013,110.82
BRB,2014,109.739
BRB,2015,120.001
BRB,2016,118.816
BRB,2017,117.63
BRB,2018,117.319
BRB,2019,117.112
BRB,2020,104.722
BRB,2021,112.223
BRB,2022,114.581
BRN,2003,51.1674
BRN,2004,57.3669
BRN,2005,64.8898
BRN,2006,82.6517
BRN,2007,98.7233
BRN,2008,105.576
BRN,2009,107.255
BRN,2010,110.902
BRN,2011,110.96
BRN,2012,115.826
BRN,2013,114.011
BRN,2014,108.471
BRN,2015,109.751
BRN,2016,122.427
BRN,2017,125.87
BRN,2018,129.268
BRN,2019,129.845
BRN,2020,119.934
BRN,2021,133.597
BRN,2022,116.108
BTN,2003,0.35363
BTN,2004,2.94185
BTN,2005,5.43918
BTN,2006,12.2359
BTN,2007,22.0203
BTN,2008,36.9241
BTN,2009,48.8392
BTN,2010,56.1998
BTN,2011,68.2555
BTN,2012,78.1969
BTN,2013,75.0527
BTN,2014,85.1866
BTN,2015,91.241
BTN,2016,93.3821
BTN,2017,96.8566
BTN,2018,92.6023
BTN,2019,95.3473
BTN,2020,96.7703
BTN,2021,100.331
BTN,2022,95.1298
BWA,2003,25.0588
BWA,2004,28.9318
BWA,2005,30.6424
BWA,2006,43.9084
BWA,2007,60.2637
BWA,2008,76.1956
BWA,2009,94.1441
BWA,2010,116.246
BWA,2011,139.87
BWA,2012,146.149
BWA,2013,151.671
BWA,2014,157.018
BWA,2015,157.735
BWA,2016,147.173
BWA,2017,142.962
BWA,2018,147.065
BWA,2019,160.662
BWA,2020,161.859
BWA,2021,173.252
BWA,2022,178.205
CAF,2003,0.97488
CAF,2004,1.43102
CAF,2005,2.33165
CAF,2006,2.5128
CAF,2007,7.61859
CAF,2008,12.5028
CAF,2009,19.0689
CAF,2010,21.7946
CAF,2011,21.7402
CAF,2012,24.7918
CAF,2013,29.3015
CAF,2014,24.9962
CAF,2015,26.8397
CAF,2016,26.4836
CAF,2017,24.5204
CAF,2018,26.2216
CAF,2019,32.2627
CAF,2020,36.426
CAF,2021,35.817
CAF,2022,38.8218
CAN,2003,41.7477
CAN,2004,46.7437
CAN,2005,52.4553
CAN,2006,57.2331
CAN,2007,61.2755
CAN,2008,66.0481
CAN,2009,70.3945
CAN,2010,75.5197
CAN,2011,77.6723
CAN,2012,79.3757
CAN,2013,80.3549
CAN,2014,80.7902
CAN,2015,82.7674
CAN,2016,84.5919
CAN,2017,86.1024
CAN,2018,89.0495
CAN,2019,90.9589
CAN,2020,84.7748
CAN,2021,87.4056
CAN,2022,91.2387
CHE,2003,84.3941
CHE,2004,84.9756
CHE,2005,91.959
CHE,2006,99.4337
CHE,2007,108.793
CHE,2008,116.423
CHE,2009,120.483
CHE,2010,123.236
CHE,2011,127.397
CHE,2012,132.031
CHE,2013,136.551
CHE,2014,136.138
CHE,2015,135.723
CHE,2016,134.236
CHE,2017,131.17
CHE,2018,126.681
CHE,2019,126.921
CHE,2020,127.376
CHE,2021,123.212
CHE,2022,123.971
CHL,2003,45.3566
CHL,2004,57.2138
CHL,2005,64.6505
CHL,2006,75.4174
CHL,2007,83.7065
CHL,2008,87.871
CHL,2009,96.7107
CHL,2010,115.545
CHL,2011,128.605
CHL,2012,136.656
CHL,2013,133.778
CHL,2014,132.56
CHL,2015,128.584
CHL,2016,127.565
CHL,2017,124.001
CHL,2018,133.27
CHL,2019,130.493
CHL,2020,129.414
CHL,2021,136.572
CHL,2022,135.114
CHN,2003,20.8536
CHN,2004,25.7141
CHN,2005,30.0304
CHN,2006,34.9802
CHN,2007,41.2808
CHN,2008,48.0758
CHN,2009,55.6575
CHN,2010,63.5563
CHN,2011,72.5052
CHN,2012,81.2076
CHN,2013,89.1302
CHN,2014,92.6612
CHN,2015,92.5401
CHN,2016,97.2139
CHN,2017,104.073
CHN,2018,116.229
CHN,2019,122.67
CHN,2020,120.497
CHN,2021,121.492
CHN,2022,124.195
CIV,2003,6.69626
CIV,2004,8.54469
CIV,2005,11.7071
CIV,2006,19.7861
CIV,2007,35.5088
CIV,2008,48.5676
CIV,2009,59.9343
CIV,2010,69.3659
CIV,2011,75.4688
CIV,2012,77.1273
CIV,2013,80.9987
CIV,2014,90.122
CIV,2015,100.639
CIV,2016,105.625
CIV,2017,118.755
CIV,2018,123.098
CIV,2019,132.574
CIV,2020,138.664
CIV,2021,150.344
CIV,2022,161.232
CMR,2003,6.66446
CMR,2004,9.21627
CMR,2005,13.1922
CMR,2006,17.8682
CMR,2007,25.1303
CMR,2008,33.1693
CMR,2009,41.8758
CMR,2010,43.9121
CMR,2011,51.831
CMR,2012,62.9907
CMR,2013,73.1912
CMR,2014,77.24
CMR,2015,79.7801
CMR,2016,79.8046
CMR,2017,83.4503
CMR,2018,74.3995
CMR,2019,83.9044
CMR,2020,85.2722
CMR,2021,80.8081
CMR,2022,89.8274
COD,2003,2.25179
COD,2004,3.49263
COD,2005,4.67216
COD,2006,7.28434
COD,2007,10.551
COD,2008,15.4333
COD,2009,14.2422
COD,2010,17.2401
COD,2011,22.0819
COD,2012,27.4285
COD,2013,37.2505
COD,2014,47.3232
COD,2015,46.5879
COD,2016,34.4099
COD,2017,40.6223
COD,2018,40.5014
COD,2019,39.94
COD,2020,42.5028
COD,2021,47.2883
COD,2022,48.6774
COG,2003,9.57701
COG,2004,10.76
COG,2005,15.101
COG,2006,23.9093
COG,2007,32.349
COG,2008,43.9283
COG,2009,68.866
COG,2010,83.3372
COG,2011,84.2731
COG,2012,90.3529
COG,2013,95.9371
COG,2014,99.08
COG,2015,102.323
COG,2016,103.858
COG,2017,94.4868
COG,2018,91.189
COG,2019,91.0654
COG,2020,97.6561
COG,2021,95.8615
COG,2022,93.6259
COL,2003,15.1114
COL,2004,25.0356
COL,2005,51.8645
COL,2006,69.7165
COL,2007,78.5031
COL,2008,94.529
COL,2009,95.2296
COL,2010,99.3308
COL,2011,102.079
COL,2012,107.329
COL,2013,108.978
COL,2014,118.823
COL,2015,122.051
COL,2016,123.71
COL,2017,129.272
COL,2018,131.595
COL,2019,132.811
COL,2020,133.661
COL,2021,146.628
COL,2022,156.195
COM,2003,0.351
COM,2004,1.44273
COM,2005,2.61913
COM,2006,6.09786
COM,2007,10.0667
COM,2008,14.5781
COM,2009,19.0975
COM,2010,25.2396
COM,2011,32.3982
COM,2012,41.5931
COM,2013,49.9144
COM,2014,53.8297
COM,2015,58.4556
COM,2016,61.2598
COM,2017,61.9708
COM,2018,64.6591
COM,2019,73.1292
COM,2020,97.4339
COM,2021,104.311
COM,2022,100.549
CPV,2003,11.2683
CPV,2004,13.7222
CPV,2005,16.8457
CPV,2006,22.183
CPV,2007,30.6762
CPV,2008,55.3839
CPV,2009,57.419
CPV,2010,72.9468
CPV,2011,77.5113
CPV,2012,83.0757
CPV,2013,97.5075
CPV,2014,119.724
CPV,2015,119.336
CPV,2016,117.442
CPV,2017,119.374
CPV,2018,118.876
CPV,2019,115.868
CPV,2020,105.839
CPV,2021,114.231
CPV,2022,113.247
CRI,2003,18.805
CRI,2004,21.9778
CRI,2005,25.8447
CRI,2006,33.409
CRI,2007,34.4323
CRI,2008,42.4898
CRI,2009,43.3424
CRI,2010,68.6655
CRI,2011,90.0915
CRI,2012,115.312
CRI,2013,150.801
CRI,2014,147.267
CRI,2015,156.404
CRI,2016,171.166
CRI,2017,179.931
CRI,2018,171.357
CRI,2019,146.212
CRI,2020,149.223
CRI,2021,154.831
CRI,2022,154.989
CUB,2003,0.31541
CUB,2004,0.67443
CUB,2005,1.2034
CUB,2006,1.35403
CUB,2007,1.75642
CUB,2008,2.93786
CUB,2009,5.49953
CUB,2010,8.87827
CUB,2011,11.6368
CUB,2012,14.8776
CUB,2013,17.6639
CUB,2014,22.4243
CUB,2015,29.5816
CUB,2016,35.3989
CUB,2017,41.0193
CUB,2018,47.8602
CUB,2019,53.9383
CUB,2020,59.6059
CUB,2021,63.8661
CUB,2022,68.718
CYP,2003,76.3248
CYP,2004,89.8
CYP,2005,105.175
CYP,2006,114.499
CYP,2007,127.294
CYP,2008,127.587
CYP,2009,119.341
CYP,2010,123.133
CYP,2011,126.56
CYP,2012,128.298
CYP,2013,128.161
CYP,2014,131.145
CYP,2015,130.982
CYP,2016,132.637
CYP,2017,136.172
CYP,2018,137.045
CYP,2019,139.994
CYP,2020,138.388
CYP,2021,145.992
CYP,2022,151.241
CZE,2003,94.7289
CZE,2004,105.078
CZE,2005,114.55
CZE,2006,120.395
CZE,2007,127.967
CZE,2008,132.779
CZE,2009,125.349
CZE,2010,123.605
CZE,2011,125.46
CZE,2012,128.69
CZE,2013,130.521
CZE,2014,132.289
CZE,2015,118.34
CZE,2016,118.544
CZE,2017,119.874
CZE,2018,120.432
CZE,2019,124.126
CZE,2020,123.219
CZE,2021,126.173
CZE,2022,128.105
DEU,2003,78.917
DEU,2004,86.8798
DEU,2005,96.6169
DEU,2006,104.835
DEU,2007,118.37
DEU,2008,130.097
DEU,2009,129.733
DEU,2010,109.364
DEU,2011,112.419
DEU,2012,114.192
